.S..No.,Block,Range
254,Early Dynastic Cuneiform,.U+12480....U+1254F.
255,Cypro-Minoan,.U+12F90....U+12FFF.
256,Egyptian Hieroglyphs,.U+13000....U+1342F.
257,Egyptian Hieroglyph Format Controls,.U+13430....U+1345F.
258,Egyptian Hieroglyphs Extended-A,.U+13460....U+143FF.
259,Anatolian Hieroglyphs,.U+14400....U+1467F.
260,Gurung Khema,.U+16100....U+1613F.
261,Bamum Supplement,.U+16800....U+16A3F.
262,Mro,.U+16A40....U+16A6F.
263,Tangsa,.U+16A70....U+16ACF.
264,Bassa Vah,.U+16AD0....U+16AFF.
265,Pahawh Hmong,.U+16B00....U+16B8F.
266,Kirat Rai,.U+16D40....U+16D7F.
267,Medefaidrin,.U+16E40....U+16E9F.
268,Miao,.U+16F00....U+16F9F.
269,Ideographic Symbols and Punctuation,.U+16FE0....U+16FFF.
270,Tangut,.U+17000....U+187FF.
271,Tangut Components,.U+18800....U+18AFF.
272,Khitan Small Script,.U+18B00....U+18CFF.
273,Tangut Supplement,.U+18D00....U+18D7F.
274,Kana Extended-B,.U+1AFF0....U+1AFFF.
275,Kana Supplement,.U+1B000....U+1B0FF.
276,Kana Extended-A,.U+1B100....U+1B12F.
277,Small Kana Extension,.U+1B130....U+1B16F.
278,Nushu,.U+1B170....U+1B2FF.
279,Duployan,.U+1BC00....U+1BC9F.
280,Shorthand Format Controls,.U+1BCA0....U+1BCAF.
281,Symbols for Legacy Computing Supplement,.U+1CC00....U+1CEBF.
282,Znamenny Musical Notation,.U+1CF00....U+1CFCF.
283,Byzantine Musical Symbols,.U+1D000....U+1D0FF.
284,Musical Symbols,.U+1D100....U+1D1FF.
285,Ancient Greek Musical Notation,.U+1D200....U+1D24F.
286,Kaktovik Numerals,.U+1D2C0....U+1D2DF.
287,Mayan Numerals,.U+1D2E0....U+1D2FF.
288,Tai Xuan Jing Symbols,.U+1D300....U+1D35F.
289,Counting Rod Numerals,.U+1D360....U+1D37F.
290,Mathematical Alphanumeric Symbols,.U+1D400....U+1D7FF.
291,Sutton SignWriting,.U+1D800....U+1DAAF.
292,Latin Extended-G,.U+1DF00....U+1DFFF.
293,Glagolitic Supplement,.U+1E000....U+1E02F.
294,Cyrillic Extended-D,.U+1E030....U+1E08F.
295,Nyiakeng Puachue Hmong,.U+1E100....U+1E14F.
296,Toto,.U+1E290....U+1E2BF.
297,Wancho,.U+1E2C0....U+1E2FF.
298,Nag Mundari,.U+1E4D0....U+1E4FF.
299,Ol Onal,.U+1E5D0....U+1E5FF.
300,Ethiopic Extended-B,.U+1E7E0....U+1E7FF.
301,Mende Kikakui,.U+1E800....U+1E8DF.
302,Adlam,.U+1E900....U+1E95F.
303,Indic Siyaq Numbers,.U+1EC70....U+1ECBF.
304,Ottoman Siyaq Numbers,.U+1ED00....U+1ED4F.
305,Arabic Mathematical Alphabetic Symbols,.U+1EE00....U+1EEFF.
306,Mahjong Tiles,.U+1F000....U+1F02F.
307,Domino Tiles,.U+1F030....U+1F09F.
308,Playing Cards,.U+1F0A0....U+1F0FF.
309,Enclosed Alphanumeric Supplement,.U+1F100....U+1F1FF.
310,Enclosed Ideographic Supplement,.U+1F200....U+1F2FF.
311,Miscellaneous Symbols and Pictographs,.U+1F300....U+1F5FF.
312,Emoticons,.U+1F600....U+1F64F.
313,Ornamental Dingbats,.U+1F650....U+1F67F.
314,Transport and Map Symbols,.U+1F680....U+1F6FF.
315,Alchemical Symbols,.U+1F700....U+1F77F.
316,Geometric Shapes Extended,.U+1F780....U+1F7FF.
317,Supplemental Arrows-C,.U+1F800....U+1F8FF.
318,Supplemental Symbols and Pictographs,.U+1F900....U+1F9FF.
319,Chess Symbols,.U+1FA00....U+1FA6F.
320,Symbols and Pictographs Extended-A,.U+1FA70....U+1FAFF.
321,Symbols for Legacy Computing,.U+1FB00....U+1FBFF.
322,CJK Unified Ideographs Extension B,.U+20000....U+2A6DF.
323,CJK Unified Ideographs Extension C,.U+2A700....U+2B73F.
324,CJK Unified Ideographs Extension D,.U+2B740....U+2B81F.
325,CJK Unified Ideographs Extension E,.U+2B820....U+2CEAF.
326,CJK Unified Ideographs Extension F,.U+2CEB0....U+2EBEF.
327,CJK Unified Ideographs Extension I,.U+2EBF0....U+2EE5F.
328,CJK Compatibility Ideographs Supplement,.U+2F800....U+2FA1F.
329,CJK Unified Ideographs Extension G,.U+30000....U+3134F.
330,CJK Unified Ideographs Extension H,.U+31350....U+323AF.
331,Tags,.U+E0000....U+E007F.
332,Variation Selectors Supplement,.U+E0100....U+E01EF.
